GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200724,OB,LG,B,63257,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,79231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,OB,LG,B,67207,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,77248,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,OB,LG,B,68204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,OB,LG,B,74206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,76267,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,78224,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
200724,OB,LG,B,75334,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
200724,OB,LG,B,69209,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200724,SK,HH,T,76802,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,79109,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200724,KT,NC,B,64012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,LG,OB,T,61102,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
200724,LG,OB,T,68106,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,LT,WO,T,62558,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
200724,LT,WO,T,76249,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
200724,LT,WO,T,79608,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
200724,LT,WO,T,50506,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
200724,LT,WO,T,64504,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
200724,LT,WO,T,71564,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200724,LT,WO,T,78513,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
200724,LT,WO,T,77532,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
200724,LT,WO,T,60523,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
200724,WO,LT,B,64657,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
200724,WO,LT,B,65586,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200724,WO,LT,B,65898,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200724,WO,LT,B,79365,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
200724,WO,LT,B,75125,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200724,WO,LT,B,64300,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,WO,LT,B,67341,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
200724,WO,LT,B,78168,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
200724,WO,LT,B,67304,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200724,LG,OB,T,79150,4.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
200724,LG,OB,T,66113,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
200724,LG,OB,T,63913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200724,LG,OB,T,71184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,50202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200724,OB,LG,B,79215,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200725,NC,KT,T,76849,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200725,HT,SS,B,69652,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200725,HT,SS,B,64560,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
200725,NC,KT,T,62934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,NC,KT,T,60566,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200725,NC,KT,T,68912,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200725,NC,KT,T,78122,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,NC,KT,T,63963,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200725,NC,KT,T,78813,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200725,NC,KT,T,62931,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
200725,HT,SS,B,72443,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0
200725,NC,KT,T,62925,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200725,NC,KT,T,62947,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
200725,NC,KT,T,62907,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
200725,KT,NC,B,64006,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200725,KT,NC,B,78548,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
