GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200902,NC,WO,T,L,24.0,164.0,31.0,7.0,2.0,0.0,0.0,1.0,10.0,7.0,0.0,6.0,5.0
200903,LT,HT,B,L,27.0,133.0,36.0,10.0,1.0,0.0,2.0,0.0,1.0,7.0,0.0,4.0,4.0
200903,HT,LT,T,W,27.0,129.0,30.0,5.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,3.0,3.0
200903,LG,NC,B,W,27.0,161.0,40.0,16.0,2.0,0.0,0.0,3.0,3.0,11.0,2.0,5.0,5.0
200903,NC,LG,T,L,24.0,131.0,32.0,9.0,1.0,0.0,1.0,0.0,2.0,8.0,2.0,6.0,2.0
200903,SS,OB,B,W,27.0,143.0,38.0,10.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,10.0,6.0
200903,OB,SS,T,L,24.0,178.0,35.0,16.0,5.0,1.0,1.0,1.0,4.0,6.0,2.0,11.0,10.0
200903,KT,SK,B,W,27.0,126.0,32.0,8.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0
200903,SK,KT,T,L,24.0,162.0,34.0,12.0,3.0,0.0,0.0,1.0,4.0,6.0,1.0,6.0,6.0
200904,LG,NC,B,D,36.0,235.0,46.0,13.0,1.0,0.0,0.0,3.0,7.0,15.0,0.0,5.0,5.0
200904,NC,LG,T,D,36.0,222.0,46.0,13.0,3.0,1.0,0.0,2.0,9.0,14.0,1.0,5.0,5.0
200904,SS,OB,B,W,27.0,160.0,32.0,8.0,1.0,0.0,0.0,0.0,5.0,12.0,2.0,5.0,5.0
200904,OB,SS,T,L,24.0,191.0,37.0,16.0,3.0,0.0,2.0,1.0,9.0,3.0,2.0,12.0,11.0
200904,HH,WO,B,W,27.0,147.0,32.0,6.0,1.0,0.0,0.0,2.0,4.0,8.0,0.0,1.0,1.0
200904,WO,HH,T,L,24.0,174.0,30.0,10.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,7.0
200905,HH,HT,B,L,27.0,156.0,36.0,13.0,4.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,5.0
200905,HT,HH,T,W,27.0,141.0,33.0,8.0,2.0,0.0,1.0,0.0,3.0,11.0,1.0,4.0,4.0
200905,WO,KT,B,L,27.0,183.0,37.0,11.0,1.0,0.0,2.0,0.0,6.0,8.0,0.0,8.0,8.0
200905,KT,WO,T,W,27.0,120.0,32.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0
200905,OB,SK,B,W,27.0,117.0,30.0,5.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,1.0,1.0
200905,SK,OB,T,L,24.0,159.0,29.0,6.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,5.0,5.0
200906,HH,HT,B,L,27.0,167.0,35.0,10.0,5.0,0.0,1.0,0.0,4.0,9.0,0.0,8.0,7.0
200906,HT,HH,T,W,27.0,148.0,36.0,10.0,1.0,0.0,2.0,0.0,0.0,13.0,0.0,4.0,4.0
200906,WO,KT,B,L,27.0,187.0,38.0,12.0,2.0,0.0,0.0,0.0,5.0,6.0,1.0,8.0,7.0
200906,KT,WO,T,W,27.0,167.0,34.0,9.0,2.0,0.0,2.0,0.0,4.0,10.0,1.0,7.0,7.0
200906,LT,LG,B,L,27.0,163.0,42.0,14.0,4.0,0.0,2.0,0.0,1.0,8.0,0.0,7.0,5.0
200906,LG,LT,T,W,27.0,121.0,29.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0
200906,OB,SK,B,W,27.0,111.0,31.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
200906,SK,OB,T,L,24.0,165.0,38.0,14.0,2.0,0.0,2.0,0.0,5.0,3.0,0.0,10.0,9.0
200908,SS,HH,B,L,30.0,173.0,36.0,10.0,2.0,0.0,0.0,0.0,3.0,9.0,0.0,4.0,4.0
200908,HH,SS,T,W,30.0,173.0,36.0,7.0,1.0,0.0,0.0,2.0,3.0,6.0,0.0,2.0,2.0
200908,OB,KT,B,W,27.0,157.0,33.0,6.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0
200908,KT,OB,T,L,24.0,132.0,36.0,12.0,7.0,0.0,1.0,0.0,3.0,5.0,0.0,8.0,8.0
200908,HT,LG,B,W,27.0,160.0,35.0,11.0,3.0,1.0,0.0,0.0,8.0,3.0,2.0,2.0,2.0
200908,LG,HT,T,L,24.0,124.0,31.0,7.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,3.0,1.0
200908,NC,LT,B,W,27.0,149.0,33.0,6.0,1.0,0.0,0.0,1.0,5.0,6.0,0.0,2.0,2.0
200908,LT,NC,T,L,24.0,168.0,42.0,17.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,14.0,10.0
200908,SK,WO,B,L,27.0,196.0,43.0,17.0,4.0,0.0,5.0,0.0,6.0,7.0,1.0,16.0,16.0
