GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200904,LT,HT,B,34.0,7.0,9.0,14.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,5.0
200904,HT,LT,T,37.0,7.0,7.0,10.0,2.0,0.0,1.0,1.0,3.0,11.0,1.0,0.0,6.0
200904,KT,SK,B,35.0,9.0,10.0,13.0,3.0,0.0,3.0,2.0,3.0,7.0,0.0,0.0,4.0
200904,SK,KT,T,32.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,1.0,6.0
200904,KT,SK,B,33.0,7.0,7.0,9.0,2.0,0.0,2.0,0.0,9.0,3.0,1.0,0.0,10.0
200904,SK,KT,T,34.0,5.0,5.0,10.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0
200904,OB,SS,T,32.0,4.0,5.0,8.0,1.0,0.0,0.0,0.0,5.0,12.0,2.0,1.0,6.0
200905,HT,HH,T,36.0,5.0,5.0,13.0,4.0,0.0,0.0,0.0,6.0,5.0,1.0,1.0,12.0
200905,SK,OB,T,30.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,4.0
200905,WO,KT,B,32.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0
200905,HH,HT,B,33.0,4.0,4.0,8.0,2.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,6.0
200905,KT,WO,T,37.0,8.0,8.0,11.0,1.0,0.0,2.0,0.0,6.0,8.0,0.0,0.0,9.0
200905,OB,SK,B,29.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,9.0
200906,HH,HT,B,36.0,4.0,4.0,10.0,1.0,0.0,2.0,0.0,0.0,13.0,0.0,1.0,5.0
200906,WO,KT,B,34.0,7.0,7.0,9.0,2.0,0.0,2.0,0.0,4.0,10.0,1.0,1.0,4.0
200906,KT,WO,T,38.0,7.0,8.0,12.0,2.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,10.0
200906,LT,LG,B,29.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,5.0
200906,LG,LT,T,42.0,6.0,7.0,14.0,4.0,0.0,2.0,0.0,1.0,8.0,0.0,1.0,10.0
200906,OB,SK,B,38.0,10.0,10.0,14.0,2.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,9.0
200906,SK,OB,T,31.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,6.0
200906,HT,HH,T,35.0,8.0,8.0,10.0,5.0,0.0,1.0,0.0,4.0,9.0,0.0,0.0,6.0
200906,SS,NC,B,34.0,5.0,5.0,10.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,8.0
200906,NC,SS,T,31.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,3.0
200907,LT,LG,B,39.0,12.0,12.0,16.0,6.0,0.0,2.0,0.0,6.0,4.0,1.0,1.0,9.0
200907,LG,LT,T,40.0,5.0,6.0,16.0,2.0,0.0,1.0,0.0,3.0,9.0,2.0,0.0,10.0
200908,SK,WO,B,45.0,12.0,15.0,16.0,4.0,0.0,3.0,0.0,5.0,8.0,0.0,0.0,9.0
